Latitude,Longitude,pCO2_ppm,temperature_degC,salinity_PSU,Chlorophyll_mgPerm3,year,month,day,hour,minute
42.9307228571429,-9.39875023809524,NaN,18.2097142857143,35.0495714285714,7.35982042857143,2018,7,6,19,20
42.929379047619,-9.40284357142857,NaN,18.1427142857143,35.123,7.36023857142857,2018,7,6,19,21
42.9280328571429,-9.40692261904762,NaN,17.928,35.218,7.31842357142857,2018,7,6,19,22
42.9267185714286,-9.41112547619048,NaN,17.5428571428571,35.2641428571429,7.26950042857143,2018,7,6,19,23
42.9253485714286,-9.41520904761905,NaN,17.5934285714286,35.1874285714286,7.24316,2018,7,6,19,24
42.9240104761905,-9.41930142857143,NaN,17.7502857142857,35.1565714285714,7.22711028571428,2018,7,6,19,25
42.9227238095238,-9.42332095238095,NaN,17.7575714285714,35.1867142857143,7.21673528571429,2018,7,6,19,26
42.921435,-9.42731761904762,NaN,17.7284285714286,35.1981428571429,7.18379285714286,2018,7,6,19,27
42.9201416666667,-9.43142214285714,NaN,17.7815714285714,35.1842857142857,7.20039771428571,2018,7,6,19,28
42.9188776190476,-9.43532952380952,NaN,17.8642857142857,35.1762857142857,7.15978957142857,2018,7,6,19,29
42.9170023809524,-9.43680142857143,NaN,17.9957142857143,35.1534285714286,7.18113357142857,2018,7,6,19,30
42.914305,-9.43499857142857,NaN,17.9898571428571,35.2057142857143,7.17398942857143,2018,7,6,19,31
42.9114528571429,-9.43321309523809,NaN,17.9241428571429,35.23,7.13564585714286,2018,7,6,19,32
42.9086142857143,-9.43136380952381,NaN,17.8648571428571,35.2384285714286,7.11073742857143,2018,7,6,19,33
42.9057419047619,-9.42940523809524,NaN,17.8577142857143,35.2218571428571,7.08128671428571,2018,7,6,19,34
42.9028473809524,-9.42742547619048,NaN,17.8535714285714,35.2105714285714,7.09912314285714,2018,7,6,19,35
42.8999230952381,-9.42539928571429,NaN,17.8338571428571,35.2241428571429,7.10750014285714,2018,7,6,19,36
